instance,dataset,min,avg,method
frb40-19-5,bhoslib,15,15.2,drMIDS
frb40-19-5,bhoslib,15,15.8,ILPS2
frb40-19-5,bhoslib,15,16,ILPS3
frb40-19-5,bhoslib,15,15,MAE-PB
frb45-21-1,bhoslib,18,18,GRASP+PC
frb45-21-1,bhoslib,18,18.9,MEMETIC
frb45-21-1,bhoslib,17,17.8,drMIDS
frb45-21-1,bhoslib,18,18.2,ILPS2
frb45-21-1,bhoslib,18,18.7,ILPS3
frb45-21-1,bhoslib,17,17.5,MAE-PB
frb45-21-2,bhoslib,18,18,GRASP+PC
frb45-21-2,bhoslib,18,18.7,MEMETIC
frb45-21-2,bhoslib,17,17.9,drMIDS
frb45-21-2,bhoslib,17,18,ILPS2
frb45-21-2,bhoslib,17,18.6,ILPS3
frb45-21-2,bhoslib,17,17.6,MAE-PB
frb45-21-3,bhoslib,18,18.1,GRASP+PC
frb45-21-3,bhoslib,18,18.4,MEMETIC
frb45-21-3,bhoslib,17,17.4,drMIDS
frb45-21-3,bhoslib17,17.8,ILPS2
frb45-21-3,bhoslib,17,18.4,ILPS3
frb45-21-3,bhoslib,17,17,MAE-PB
frb45-21-4,bhoslib,18,18,GRASP+PC
frb45-21-4,bhoslib,18,18.6,MEMETIC
frb45-21-4,bhoslib,17,17.5,drMIDS
frb45-21-4,bhoslib,18,18.1,ILPS2
frb45-21-4,bhoslib,18,18.6,ILPS3
frb45-21-4,bhoslib,17,17.1,MAE-PB
frb45-21-5,bhoslib,17,17.9,GRASP+PC
frb45-21-5,bhoslib,18,18.5,MEMETIC
frb45-21-5,bhoslib,17,17.5,drMIDS
frb45-21-5,bhoslib,17,18,ILPS2
frb45-21-5,bhoslib,17,18.3,ILPS3
frb45-21-5,bhoslib,17,17,MAE-PB
frb50-23-1,bhoslib,20,20,GRASP+PC
frb50-23-1,bhoslib,20,20.9,MEMETIC
frb50-23-1,bhoslib,19,19.9,drMIDS
frb50-23-1,bhoslib,19,20.2,ILPS2
frb50-23-1,bhoslib,20,20.8,ILPS3
frb50-23-1,bhoslib,19,19.5,MAE-PB
frb50-23-2,bhoslib,20,20.2,GRASP+PC
frb50-23-2,bhoslib,21,21,MEMETIC
frb50-23-2,bhoslib,19,19.9,drMIDS
frb50-23-2,bhoslib,20,20.5,ILPS2
frb50-23-2,bhoslib,20,20.8,ILPS3
frb50-23-2,bhoslib,19,19.8,MAE-PB
frb50-23-3,bhoslib,20,20.3,GRASP+PC
frb50-23-3,bhoslib,20,20.9,MEMETIC
frb50-23-3,bhoslib,19,19.8,drMIDS
frb50-23-3,bhoslib,20,20.2,ILPS2
frb50-23-3,bhoslib,20,20.8,ILPS3
frb50-23-3,bhoslib,19,19.6,MAE-PB
frb50-23-4,bhoslib,20,20.5,GRASP+PC
frb50-23-4,bhoslib,21,21.4,MEMETIC
frb50-23-4,bhoslib,19,19.9,drMIDS
frb50-23-4,bhoslib,20,20.8,ILPS2
frb50-23-4,bhoslib,20,21,ILPS3
frb50-23-4,bhoslib,19,19.8,MAE-PB
frb50-23-5,bhoslib,21,21,GRASP+PC
frb50-23-5,bhoslib,21,21.3,MEMETIC
frb50-23-5,bhoslib,20,20,drMIDS
frb50-23-5,bhoslib,20,20.4,ILPS2
frb50-23-5,bhoslib,20,20.8,ILPS3
frb50-23-5,bhoslib,19,19.7,MAE-PB
frb53-24-1,bhoslib,22,22.1,GRASP+PC
frb53-24-1,bhoslib,22,22.8,MEMETIC
frb53-24-1,bhoslib,21,21.1,drMIDS
frb53-24-1,bhoslib,20,21.8,ILPS2
frb53-24-1,bhoslib,21,22.4,ILPS3
frb53-24-1,bhoslib,20,20.8,MAE-PB
frb53-24-2,bhoslib,22,22,GRASP+PC
frb53-24-2,bhoslib,22,22.7,MEMETIC
frb53-24-2,bhoslib,21,21.5,drMIDS
frb53-24-2,bhoslib,21,21.7,ILPS2
frb53-24-2,bhoslib,21,22.1,ILPS3
frb53-24-2,bhoslib,20,21,MAE-PB
frb53-24-3,bhoslib,21,21.1,GRASP+PC
frb53-24-3,bhoslib,21,22.1,MEMETIC
frb53-24-3,bhoslib,20,20.9,drMIDS
frb53-24-3,bhoslib,21,21.4,ILPS2
frb53-24-3,bhoslib,21,21.8,ILPS3
frb53-24-3,bhoslib,20,20.7,MAE-PB
frb53-24-4,bhoslib,21,21.2,GRASP+PC
frb53-24-4,bhoslib,21,22,MEMETIC
frb53-24-4,bhoslib,20,20.9,drMIDS
frb53-24-4,bhoslib,21,21.9,ILPS2
frb53-24-4,bhoslib,21,22.1,ILPS3
frb53-24-4,bhoslib,20,20.4,MAE-PB
frb53-24-5,bhoslib,21,21.6,GRASP+PC
frb53-24-5,bhoslib,22,22.5,MEMETIC
frb53-24-5,bhoslib,20,21.1,drMIDS
frb53-24-5,bhoslib,21,21.7,ILPS2
frb53-24-5,bhoslib,21,21.9,ILPS3
frb53-24-5,bhoslib,20,20.9,MAE-PB
frb56-25-1,bhoslib,22,22.8,GRASP+PC
frb56-25-1,bhoslib,24,24.1,MEMETIC
frb56-25-1,bhoslib,21,22.4,drMIDS
frb56-25-1,bhoslib,22,23.1,ILPS2
frb56-25-1,bhoslib,23,23.7,ILPS3
frb56-25-1,bhoslib,21,22.1,MAE-PB
frb56-25-2,bhoslib,23,23.2,GRASP+PC
frb56-25-2,bhoslib,24,24.3,MEMETIC
frb56-25-2,bhoslib,22,22.8,drMIDS
frb56-25-2,bhoslib,22,23.3,ILPS2
frb56-25-2,bhoslib,23,23.7,ILPS3
frb56-25-2,bhoslib,22,22.5,MAE-PB
frb56-25-3,bhoslib,22,22.9,GRASP+PC
frb56-25-3,bhoslib,23,24,MEMETIC
frb56-25-3,bhoslib,22,22.8,drMIDS
frb56-25-3,bhoslib,22,23.1,ILPS2
frb56-25-3,bhoslib,22,23.3,ILPS3
frb56-25-3,bhoslib,22,22,MAE-PB
frb56-25-4,bhoslib,23,23.1,GRASP+PC
frb56-25-4,bhoslib,24,24.1,MEMETIC
frb56-25-4,bhoslib,22,22.8,drMIDS
