instance,dataset,avg,method,lbs,ardp,log_ratio
frb40-19-5,bhoslib,15.8,ILPS2,2,690,2.066862759472976
frb40-19-5,bhoslib,16,ILPS3,2,700,2.0794415416798357
frb40-19-5,bhoslib,15,MAE,2,650,2.0149030205422647
frb40-19-5,bhoslib,5,GREEDY,2,150,0.9162907318741551
frb45-21-1,bhoslib,18,GRASP,2,800,2.1972245773362196
frb45-21-1,bhoslib,18.9,MEMETIC,2,844.9999999999999,2.2460147415056513
frb45-21-1,bhoslib,17.8,drMIDS,2,790,2.186051276738094
frb45-21-1,bhoslib,18.2,ILPS2,2,810,2.2082744135228043
frb45-21-1,bhoslib,18.7,ILPS3,2,835,2.2353763433005955
frb45-21-1,bhoslib,17.5,MAE,2,775,2.169053700369523
frb45-21-1,bhoslib,4,GREEDY,2,100,0.6931471805599453
frb45-21-2,bhoslib,18,GRASP,2,800,2.1972245773362196
frb45-21-2,bhoslib,18.7,MEMETIC,2,835,2.2353763433005955
frb45-21-2,bhoslib,17.9,drMIDS,2,794.9999999999999,2.191653532286764
frb45-21-2,bhoslib,18,ILPS2,2,800,2.1972245773362196
frb45-21-2,bhoslib,18.6,ILPS3,2,830.0000000000001,2.2300144001592104
frb45-21-2,bhoslib,17.6,MAE,2,780.0000000000001,2.174751721484161
frb45-21-2,bhoslib,8,GREEDY,2,300,1.3862943611198906
frb45-21-3,bhoslib,18.1,GRASP,2,805.0000000000001,2.2027647577118348
frb45-21-3,bhoslib,18.4,MEMETIC,2,819.9999999999999,2.2192034840549946
frb45-21-3,bhoslib,17.4,drMIDS,2,769.9999999999999,2.163323025660538
frb45-21-3,bhoslib,17.8,ILPS2,2,790,2.186051276738094
frb45-21-3,bhoslib,18.4,ILPS3,2,819.9999999999999,2.2192034840549946
frb45-21-3,bhoslib,17,MAE,2,750,2.1400661634962708
frb45-21-3,bhoslib,4.166666666666667,GREEDY,2,108.33333333333334,0.7339691750802005
frb45-21-4,bhoslib,18,GRASP,2,800,2.1972245773362196
frb45-21-4,bhoslib,18.6,MEMETIC,2,830.0000000000001,2.2300144001592104
frb45-21-4,bhoslib,17.5,drMIDS,2,775,2.169053700369523
frb45-21-4,bhoslib,18.1,ILPS2,2,805.0000000000001,2.2027647577118348
frb45-21-4,bhoslib,18.6,ILPS3,2,830.0000000000001,2.2300144001592104
frb45-21-4,bhoslib,17.1,MAE,2,755.0000000000001,2.145931282948669
frb45-21-4,bhoslib,3.3333333333333335,GREEDY,2,66.66666666666667,0.5108256237659907
frb45-21-5,bhoslib,17.9,GRASP,2,794.9999999999999,2.191653532286764
frb45-21-5,bhoslib,18.5,MEMETIC,2,825,2.224623551524334
frb45-21-5,bhoslib,17.5,drMIDS,2,775,2.169053700369523
frb45-21-5,bhoslib,18,ILPS2,2,800,2.1972245773362196
frb45-21-5,bhoslib,18.3,ILPS3,2,815,2.21375387928743
frb45-21-5,bhoslib,17,MAE,2,750,2.1400661634962708
frb45-21-5,bhoslib,4,GREEDY,2,100,0.6931471805599453
frb50-23-1,bhoslib,20,GRASP,2,900,2.302585092994046
frb50-23-1,bhoslib,20.9,MEMETIC,2,944.9999999999999,2.34660197841082
frb50-23-1,bhoslib,19.9,drMIDS,2,894.9999999999999,2.2975725511705014
frb50-23-1,bhoslib,20.2,ILPS2,2,910,2.3125354238472138
frb50-23-1,bhoslib,20.8,ILPS3,2,940,2.341805806147327
frb50-23-1,bhoslib,19.5,MAE,2,875,2.277267285009756
frb50-23-1,bhoslib,7,GREEDY,2,250,1.252762968495368
frb50-23-2,bhoslib,20.2,GRASP,2,910,2.3125354238472138
frb50-23-2,bhoslib,21,MEMETIC,2,950,2.3513752571634776
frb50-23-2,bhoslib,19.9,drMIDS,2,894.9999999999999,2.2975725511705014
frb50-23-2,bhoslib,20.5,ILPS2,2,925,2.327277705584417
frb50-23-2,bhoslib,20.8,ILPS3,2,940,2.341805806147327
frb50-23-2,bhoslib,19.8,MAE,2,890,2.2925347571405443
frb50-23-2,bhoslib,5.066666666666666,GREEDY,2,153.33333333333331,0.9295359586241757
frb50-23-3,bhoslib,20.3,GRASP,2,915,2.3174737054877963
frb50-23-3,bhoslib,20.9,MEMETIC,2,944.9999999999999,2.34660197841082
frb50-23-3,bhoslib,19.8,drMIDS,2,890,2.2925347571405443
frb50-23-3,bhoslib,20.2,ILPS2,2,910,2.3125354238472138
frb50-23-3,bhoslib,20.8,ILPS3,2,940,2.341805806147327
frb50-23-3,bhoslib,19.6,MAE,2,880.0000000000001,2.2823823856765264
frb50-23-3,bhoslib,4.066666666666666,GREEDY,2,103.33333333333331,0.7096764825111558
frb50-23-4,bhoslib,20.5,GRASP,2,925,2.327277705584417
frb50-23-4,bhoslib,21.4,MEMETIC,2,969.9999999999999,2.3702437414678603
frb50-23-4,bhoslib,19.9,drMIDS,2,894.9999999999999,2.2975725511705014
frb50-23-4,bhoslib,20.8,ILPS2,2,940,2.341805806147327
frb50-23-4,bhoslib,21,ILPS3,2,950,2.3513752571634776
frb50-23-4,bhoslib,19.8,MAE,2,890,2.2925347571405443
frb50-23-4,bhoslib,4.3,GREEDY,2,114.99999999999999,0.7654678421395714
frb50-23-5,bhoslib,21,GRASP,2,950,2.3513752571634776
frb50-23-5,bhoslib,21.3,MEMETIC,2,965,2.365559892155434
frb50-23-5,bhoslib,20,drMIDS,2,900,2.302585092994046
frb50-23-5,bhoslib,20.4,ILPS2,2,919.9999999999999,2.3223877202902252
frb50-23-5,bhoslib,20.8,ILPS3,2,940,2.341805806147327
frb50-23-5,bhoslib,19.7,MAE,2,885,2.2874714551839976
frb50-23-5,bhoslib,3,GREEDY,2,50,0.4054651081081644
frb53-24-1,bhoslib,22.1,GRASP,2,1005.0000000000001,2.402430427963762
frb53-24-1,bhoslib,22.8,MEMETIC,2,1040,2.4336133554004498
frb53-24-1,bhoslib,21.1,drMIDS,2,955.0000000000001,2.3561258599220753
frb53-24-1,bhoslib,21.8,ILPS2,2,990,2.388762789235098
frb53-24-1,bhoslib,22.4,ILPS3,2,1019.9999999999999,2.4159137783010487
frb53-24-1,bhoslib,20.8,MAE,2,940,2.341805806147327
frb53-24-1,bhoslib,4,GREEDY,2,100,0.6931471805599453
frb53-24-2,bhoslib,22,GRASP,2,1000,2.3978952727983707
frb53-24-2,bhoslib,22.7,MEMETIC,2,1035,2.4292177439274116
frb53-24-2,bhoslib,21.5,drMIDS,2,975,2.3749057545736716
frb53-24-2,bhoslib,21.7,ILPS2,2,985,2.3841650799864684
frb53-24-2,bhoslib,22.1,ILPS3,2,1005.0000000000001,2.402430427963762
frb53-24-2,bhoslib,21,MAE,2,950,2.3513752571634776
frb53-24-2,bhoslib,4,GREEDY,2,100,0.6931471805599453
frb53-24-3,bhoslib,21.1,GRASP,2,955.0000000000001,2.3561258599220753
frb53-24-3,bhoslib,22.1,MEMETIC,2,1005.0000000000001,2.402430427963762
frb53-24-3,bhoslib,20.9,drMIDS,2,944.9999999999999,2.34660197841082
frb53-24-3,bhoslib,21.4,ILPS2,2,969.9999999999999,2.3702437414678603
frb53-24-3,bhoslib,21.8,ILPS3,2,990,2.388762789235098
frb53-24-3,bhoslib,20.7,MAE,2,935,2.336986519711378
frb53-24-3,bhoslib,4.5,GREEDY,2,125,0.8109302162163288
frb53-24-4,bhoslib,21.2,GRASP,2,960,2.3608540011180215
frb53-24-4,bhoslib,22,MEMETIC,2,1000,2.3978952727983707
frb53-24-4,bhoslib,20.9,drMIDS,2,944.9999999999999,2.34660197841082
frb53-24-4,bhoslib,21.9,ILPS2,2,994.9999999999999,2.3933394562625097
frb53-24-4,bhoslib,22.1,ILPS3,2,1005.0000000000001,2.402430427963762
frb53-24-4,bhoslib,20.4,MAE,2,919.9999999999999,2.3223877202902252
frb53-24-4,bhoslib,3.5,GREEDY,2,75,0.5596157879354227
frb53-24-5,bhoslib,21.6,GRASP,2,980.0000000000001,2.379546134130174
frb53-24-5,bhoslib,22.5,MEMETIC,2,1025,2.4203681286504293
frb53-24-5,bhoslib,21.1,drMIDS,2,955.0000000000001,2.3561258599220753
frb53-24-5,bhoslib,21.7,ILPS2,2,985,2.3841650799864684
frb53-24-5,bhoslib,21.9,ILPS3,2,994.9999999999999,2.3933394562625097
